Date of Interview,Client name,Industry,Location,Position to be closed,Nature of Skillset,Interview Type,Name(Cand ID),Gender,Candidate Current Location,Candidate Job Location,Interview Venue,Candidate Native location,Have you obtained the necessary permission to start at the required time,Hope there will be no unscheduled meetings,Can I Call you three hours before the interview and follow up on your attendance for the interview,Can I have an alternative number/ desk number. I assure you that I will not trouble you too much,Have you taken a printout of your updated resume. Have you read the JD and understood the same,Are you clear with the venue details and the landmark.,Has the call letter been shared,Observed Attendance,Marital Status,,,,,
03.04.2015,Hospira,Pharmaceuticals,Chennai,Routine,Java J2EE,Walkin,Candidate 926,Male,Chennai,Chennai,Chennai,Chennai,No,Na,Na,Na,Na,Na,Na,No,Single,,,,,
13/03/2015,Prodapt,Telecom,Chennai,Routine,COTS Developer,Scheduled ,Candidate 929,Male,Chennai,Chennai,Chennai,Bangalore,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Married,,,,,
13/03/2015,Prodapt,Telecom,Chennai,Routine,COTS Developer,Scheduled ,Candidate 930,Male,Chennai,Chennai,Chennai,Bangalore,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Married,,,,,
13/03/2015,Prodapt,Telecom,Chennai,Routine,COTS Developer,Scheduled ,Candidate 931,Male,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Married,,,,,
13/03/2015,Prodapt,Telecom,Chennai,Routine,COTS Developer,Scheduled ,Candidate 932,Male,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Married,,,,,
13/03/2015,Prodapt,Telecom,Chennai,Routine,COTS Developer,Scheduled ,Candidate 933,Male,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single,,,,,
13/03/2015,Prodapt,Telecom,Chennai,Routine,COTS Developer,Scheduled ,Candidate 934,Male,Chennai,Chennai,Chennai,Coimbatore,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single,,,,,
13/03/2015,Prodapt,Telecom,Chennai,Routine,COTS Developer,Scheduled ,Candidate 935,Male,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single,,,,,
13/03/2015,Prodapt,Telecom,Chennai,Routine,COTS Developer,Scheduled ,Candidate 936,Male,Chennai,Chennai,Chennai,Chennai,No,Na,Na,Na,Na,Na,Na,No,Married,,,,,
13/03/2015,Prodapt,Telecom,Chennai,Routine,COTS Developer,Scheduled ,Candidate 938,Male,Chennai,Chennai,Chennai,Bangalore,No,Na,Na,Na,Na,Na,Na,No,Single,,,,,
13/03/2015,Prodapt,Telecom,Chennai,Routine,COTS Developer,Scheduled ,Candidate 939,Male,Chennai,Chennai,Chennai,Chennai,No,Na,Na,Na,Na,Na,Na,No,Married,,,,,
17.03.2015,Hewitt,IT Products and Services,Gurgaon,Routine,Dot Net,Scheduled ,Candidate 954,Female,Gurgaon,Gurgaon,Gurgaon,Gurgaon,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single,,,,,
17.03.2015,Hewitt,IT Products and Services,Gurgaon,Routine,Dot Net,Scheduled ,Candidate 955,Male,Gurgaon,Gurgaon,Gurgaon,Allahabad,Yes,Yes,Yes,Yes,Yes,No,No,No,Single,,,,,
4.04.15,Hewitt,IT Products and Services,Gurgaon,Routine,testing,Scheduled ,Candidate 960,Female,Gurgaon,Gurgaon,Gurgaon,Kanpur,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single,,,,,
4.04.15,Hewitt,IT Products and Services,Gurgaon,Routine,testing,Scheduled ,Candidate 966,Male,Gurgaon,Gurgaon,Gurgaon,Gurgaon,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single,,,,,
4.04.15,Hewitt,IT Products and Services,Gurgaon,Routine,testing,Scheduled ,Candidate 968,Female,Gurgaon,Gurgaon,Gurgaon,Gurgaon,Not yet,Not sure,Yes,No,No,Yes,Yes,No,Single,,,,,
4.04.15,Hewitt,IT Products and Services,Gurgaon,Routine,testing,Scheduled ,Candidate 969,Female,Gurgaon,Gurgaon,Gurgaon,Gurgaon,Not yet,Yes,Yes,No,Yes,Yes,No,No,Single,,,,,
4.04.15,Hewitt,IT Products and Services,Gurgaon,Routine,testing,Scheduled ,Candidate 970,Female,Gurgaon,Gurgaon,Gurgaon,Gurgaon,Not yet,Yes,Yes,Yes,No,Yes,No,No,Single,,,,,
17.04.2015,Williams Lea,IT,- Cochin- ,Niche,ETL,Scheduled ,Candidate 981,Female,- Cochin- ,- Cochin- ,- Cochin- ,Trivandrum,Not yet,Not sure,Yes,No,Not Yet,Yes,Not Sure,No,Single,,,,,
17.04.2015,Williams Lea,IT,- Cochin- ,Niche,ETL,Scheduled ,Candidate 983,Male,- Cochin- ,- Cochin- ,- Cochin- ,Trivandrum,Not yet,Not sure,Yes,No,Not Yet,No,Yes,No,Single,,,,,
9.04.2015,Standard Chartered Bank,BFSI,Chennai,Niche,Java-SAS,Scheduled ,Candidate 985,Male,Chennai,Chennai,Chennai,Bangalore,Not yet,Yes,Yes,Yes,Not Yet,Yes,Not Sure,No,Single,,,,,
9.04.2015,Standard Chartered Bank,BFSI,Chennai,Niche,Java-SAS,Scheduled ,Candidate 986,Male,Chennai,Chennai,Chennai,Chennai,Not yet,Yes,Yes,Yes,No,Yes,Yes,No,Married,,,,,
9.04.2015,Standard Chartered Bank,BFSI,Chennai,Niche,Java-SAS,Scheduled ,Candidate 987,Female,Chennai,Chennai,Chennai,Chennai,Not yet,Yes,Yes,Yes,Yes,No,Not Sure,No,Single,,,,,
5/2/2015,Standard Chartered Bank,BFSI,Chennai,Routine,Java Tech Lead,Scheduled ,Candidate 992,Male,Chennai,Chennai,Chennai,Chennai,Not yet,Yes,Yes,Yes,Yes,Yes,Yes,No,Single,,,,,
5/2/2015,Standard Chartered Bank,BFSI,Chennai,Routine,Java Tech Lead,Scheduled ,Candidate 993,Female,Chennai,Chennai,Chennai,Chennai,Not yet,Yes,Yes,Yes,Yes,Yes,Not Sure,No,Married,,,,,
5/2/2015,Standard Chartered Bank,BFSI,Chennai,Routine,Java Tech Lead,Scheduled ,Candidate 994,Female,Chennai,Chennai,Chennai,Vellore,Not yet,Yes,Yes,Yes,Yes,Yes,Yes,No,Single,,,,,
20.08.2016,Standard Chartered Bank,BFSI,Chennai,Routine,SCCM,Scheduled ,Candidate 1017,Male,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single,,,,,
20.08.2016,Standard Chartered Bank,BFSI,Chennai,Routine,SCCM,Scheduled ,Candidate 1018,Male,Chennai,Chennai,Chennai,Ambur,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single,,,,,
20.08.2016,Standard Chartered Bank,BFSI,Chennai,Routine,SCCM,Scheduled ,Candidate 1020,Male,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single,,,,,
20.08.2016,Standard Chartered Bank,BFSI,Chennai,Routine,SCCM,Scheduled ,Candidate 1025,Male,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Married,,,,,
20.08.2016,Standard Chartered Bank,BFSI,chennai,Routine,"SCCM-(Network, sharepoint,ms exchange)",Scheduled ,Candidate 1026,Male,chennai,Chennai,Chennai,Cuttack,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single,,,,,
20.08.2016,Standard Chartered Bank,BFSI,CHENNAI,Routine,sccm,Scheduled ,Candidate 1032,Male,CHENNAI,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single,,,,,
20.08.2016,Standard Chartered Bank,BFSI,Chennai,Routine,SCCM – Sharepoint,Scheduled ,Candidate 1034,Male,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single,,,,,
20.08.2016,Standard Chartered Bank,BFSI,Chennai,Routine,SCCM,Scheduled ,Candidate 1035,Male,Chennai,Chennai,Chennai,Chennai,No,NA,NA,NA,NA,NA,No,No,Single,,,,,
20.08.2016,Standard Chartered Bank,BFSI,Chennai,Routine,SCCM,Scheduled ,Candidate 1036,Female,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single,,,,,
14.01.2016,Standard Chartered Bank,BFSI,Bangalore,Routine,SAS,Scheduled ,Candidate 1043,Male,Bangalore,Bangalore,Bangalore,Hyderabad,No,NA,NA,NA,NA,NA,No,No,Single,,,,,
14.01.2016,Standard Chartered Bank,BFSI,Bangalore,Routine,SAS,Scheduled ,Candidate 1050,Male,Bangalore,Bangalore,Bangalore,Hyderabad,NA,NA,NA,NA,NA,NA,NA,No,Single,,,,,
14.01.2016,Standard Chartered Bank,BFSI,Bangalore,Routine,SAS,Scheduled ,Candidate 1052,Male,Bangalore,Bangalore,Bangalore,Kolkata,NA,NA,NA,NA,NA,NA,NA,no,Single,,,,,
14.01.2016,Standard Chartered Bank,BFSI,Bangalore,Routine,SAS,Scheduled ,Candidate 1056,Male,Bangalore,Bangalore,Bangalore,Bangalore,NA,NA,NA,NA,NA,NA,NA,No,Married,,,,,
14.01.2016,Standard Chartered Bank,BFSI,Bangalore,Routine,SAS,Scheduled ,Candidate 1059,Male,Bangalore,Bangalore,Bangalore,Noida,Yes,Yes,Yes,Yes,Yes,No,Not yet,No,Single,,,,,
14.01.2016,Standard Chartered Bank,BFSI,Bangalore,Routine,SAS,Scheduled ,Candidate 1062,Male,Bangalore,Bangalore,Bangalore,Cuttack,NA,NA,NA,NA,NA,NA,NA,No,Single,,,,,
14.01.2016,Standard Chartered Bank,BFSI,Bangalore,Routine,SAS,Scheduled ,Candidate 1067,Male,Bangalore,Bangalore,Bangalore,Bangalore,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single,,,,,
14.01.2016,Standard Chartered Bank,BFSI,Bangalore,Routine,SAS,Scheduled ,Candidate 1068,Male,Bangalore,Bangalore,Bangalore,Pune,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single,,,,,
06.02.2016,Standard Chartered Bank,BFSI,Chennai,Routine,JAVA/J2EE/Struts/Hibernate,Scheduled Walk In,Candidate 1072,Male,Chennai,Chennai,Chennai,Hyderabad,NA,NA,NA,NA,NA,NA,NA,No,Single,,,,,
06.02.2016,Standard Chartered Bank,BFSI,Chennai,Routine,JAVA/J2EE/Struts/Hibernate,Scheduled Walk In,Candidate 1082,Male,Chennai,Chennai,Chennai,Chennai,NA,NA,NA,NA,NA,NA,NA,No,Single,,,,,
06.02.2016,Standard Chartered Bank,BFSI,Chennai,Routine,JAVA/J2EE/Struts/Hibernate,Scheduled Walk In,Candidate 1083,Female,Chennai,Chennai,Chennai,Chennai,No,NA,NA,NA,NA,NA,NA,No,Married,,,,,
06.02.2016,Standard Chartered Bank,BFSI,Chennai,Routine,JAVA/J2EE/Struts/Hibernate,Scheduled Walk In,Candidate 1086,Female,Chennai,Chennai,Chennai,Coimbatore,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Married,,,,,
06.02.2016,Standard Chartered Bank,BFSI,Chennai,Routine,JAVA/J2EE/Struts/Hibernate,Scheduled Walk In,Candidate 1087,Female,Chennai,Chennai,Chennai,Cuttack,NA,NA,NA,NA,NA,NA,NA,No,Single,,,,,
06.02.2016,Standard Chartered Bank,BFSI,Chennai,Routine,JAVA/J2EE/Struts/Hibernate,Scheduled Walk In,Candidate 1089,Male,Chennai,Chennai,Chennai,Hyderabad,NA,NA,NA,NA,NA,NA,NA,No,Single,,,,,
06.02.2016,Standard Chartered Bank,BFSI,Chennai,Routine,JAVA/J2EE/Struts/Hibernate,Scheduled Walk In,Candidate 1091,Male,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single,,,,,
06.02.2016,Standard Chartered Bank,BFSI,Chennai,Routine,JAVA/J2EE/Struts/Hibernate,Scheduled Walk In,Candidate 1092,Female,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single,,,,,
06.02.2016,Standard Chartered Bank,BFSI,Chennai,Routine,JAVA/J2EE/Struts/Hibernate,Scheduled Walk In,Candidate 1100,Male,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single,,,,,
06.02.2016,Standard Chartered Bank,BFSI,Chennai,Routine,JAVA/J2EE/Struts/Hibernate,Scheduled Walk In,Candidate 1101,Male,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single,,,,,
06.02.2016,Standard Chartered Bank,BFSI,Chennai,Routine,JAVA/J2EE/Struts/Hibernate,Scheduled Walk In,Candidate 1102,Female,Chennai,Chennai,Chennai,Bangalore,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Married,,,,,
06.02.2016,Standard Chartered Bank,BFSI,Chennai,Routine,JAVA/J2EE/Struts/Hibernate,Scheduled Walk In,Candidate 1105,Male,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single,,,,,
06.02.2016,Standard Chartered Bank,BFSI,chennai,Routine,JAVA/J2EE/Struts/Hibernate,Scheduled Walk In,Candidate 1109,Male,chennai,Chennai,Chennai,Allahabad,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single,,,,,
06.02.2016,Standard Chartered Bank,BFSI,Chennai,Routine,JAVA/J2EE/Struts/Hibernate,Scheduled Walk In,Candidate 1114,Male,Chennai,Chennai,Chennai,Hyderabad,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Married,,,,,
06.02.2016,Standard Chartered Bank,BFSI,Chennai,Routine,JAVA/J2EE/Struts/Hibernate,Scheduled Walk In,Candidate 1116,Male,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single,,,,,
06.02.2016,Standard Chartered Bank,BFSI,Chennai,Routine,JAVA/J2EE/Struts/Hibernate,Scheduled Walk In,Candidate 1117,Male,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Married,,,,,
06.02.2016,Standard Chartered Bank,BFSI,chennai,Routine,JAVA/J2EE/Struts/Hibernate,Scheduled Walk In,Candidate 1121,Female,chennai,Chennai,Chennai,Hyderabad,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single,,,,,
06.02.2016,Standard Chartered Bank,BFSI,chennai,Routine,JAVA/J2EE/Struts/Hibernate,Scheduled Walk In,Candidate 1124,Male,chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single,,,,,
06.02.2016,Standard Chartered Bank,BFSI,chennai,Routine,JAVA/J2EE/Struts/Hibernate,Scheduled Walk In,Candidate 1125,Male,chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single,,,,,
06.02.2016,Standard Chartered Bank,BFSI,chennai,Routine,JAVA/J2EE/Struts/Hibernate,Scheduled Walk In,Candidate 1127,Male,chennai,Chennai,Chennai,Hyderabad,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single,,,,,
06.02.2016,Standard Chartered Bank,BFSI,chennai,Routine,JAVA/J2EE/Struts/Hibernate,Scheduled Walk In,Candidate 1130,Male,chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Married,,,,,
06.02.2016,Standard Chartered Bank,BFSI,chennai,Routine,JAVA/J2EE/Struts/Hibernate,Scheduled Walk In,Candidate 1131,Male,chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single,,,,,
06.02.2016,Standard Chartered Bank,BFSI,chennai,Routine,JAVA/J2EE/Struts/Hibernate,Scheduled Walk In,Candidate 1132,Male,chennai,Chennai,Chennai,Hyderabad,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single,,,,,
06.02.2016,Standard Chartered Bank,BFSI,Chennai,Routine,JAVA/J2EE/Struts/Hibernate,Scheduled Walk In,Candidate 1136,Female,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single,,,,,
06.02.2016,Standard Chartered Bank,BFSI,Chennai,Routine,JAVA/J2EE/Struts/Hibernate,Scheduled Walk In,Candidate 1139,Male,Chennai,Chennai,Chennai,Cuttack,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single,,,,,
06.02.2016,Standard Chartered Bank,BFSI,Chennai,Routine,JAVA/J2EE/Struts/Hibernate,Scheduled Walk In,Candidate 1140,Male,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single,,,,,
06.02.2016,Standard Chartered Bank,BFSI,Chennai,Routine,JAVA/J2EE/Struts/Hibernate,Scheduled Walk In,Candidate 1141,Male,Chennai,Chennai,Chennai,Hyderabad,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Married,,,,,
06.02.2016,Standard Chartered Bank,BFSI,Chennai,Routine,JAVA/J2EE/Struts/Hibernate,Scheduled Walk In,Candidate 1143,Male,Chennai,Chennai,Chennai,Hyderabad,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single,,,,,
06.02.2016,Standard Chartered Bank,BFSI,Chennai,Routine,JAVA/J2EE/Struts/Hibernate,Scheduled Walk In,Candidate 1144,Male,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single,,,,,
06.02.2016,Standard Chartered Bank,BFSI,Chennai,Routine,JAVA/J2EE/Struts/Hibernate,Scheduled Walk In,Candidate 1150,Male,Chennai,Chennai,Chennai,Hyderabad,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single,,,,,
06.02.2016,Standard Chartered Bank,BFSI,Chennai,Routine,JAVA/J2EE/Struts/Hibernate,Scheduled Walk In,Candidate 1161,Male,Chennai,Chennai,Chennai,Vellore,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single,,,,,
06.02.2016,Standard Chartered Bank,BFSI,Chennai,Routine,JAVA/J2EE/Struts/Hibernate,Scheduled Walk In,Candidate 1162,Male,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single,,,,,
06.02.2016,Standard Chartered Bank,BFSI,Chennai,Routine,JAVA/J2EE/Struts/Hibernate,Scheduled Walk In,Candidate 1163,Male,Chennai,Chennai,Chennai,Hyderabad,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Married,,,,,
06.02.2016,Standard Chartered Bank,BFSI,Chennai,Routine,JAVA/J2EE/Struts/Hibernate,Scheduled Walk In,Candidate 1168,Female,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Married,,,,,
06.02.2016,Standard Chartered Bank,BFSI,Chennai,Routine,JAVA/J2EE/Struts/Hibernate,Scheduled Walk In,Candidate 1173,Male,Chennai,Chennai,Chennai,Hyderabad,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Married,,,,,
06.02.2016,Standard Chartered Bank,BFSI,Chennai,Routine,JAVA/J2EE/Struts/Hibernate,Scheduled Walk In,Candidate 1176,Male,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single,,,,,
30.01.2016,Standard Chartered Bank,BFSI,Chennai,Routine,"Java, Spring, Hibernate",Scheduled Walk In,Candidate 1180,Female,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Married,,,,,
30.01.2016,Standard Chartered Bank,BFSI,Chennai,Routine,"Java, Spring, Hibernate",Scheduled Walk In,Candidate 1181,Male,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single,,,,,
30/01/16,Standard Chartered Bank,BFSI,chennai,Routine,"Java,spring,hibernate",Scheduled Walk In,Candidate 1184,Male,chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single,,,,,
30.01.2016,Standard Chartered Bank,BFSI,Chennai,Routine,"Java, XML, Struts, hibernate",Scheduled Walk In,Candidate 1185,Male,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single,,,,,
30.1.16,Standard Chartered Bank,BFSI,Chennai,Routine,Java Developer,Scheduled Walk In,Candidate 1193,Male,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Married,,,,,
30.1.16,Standard Chartered Bank,BFSI,Chennai,Routine,Java,Scheduled Walk In,Candidate 1199,Male,Chennai,Chennai,Chennai,Hyderabad,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single,,,,,
30.1.16,Standard Chartered Bank,BFSI,chennai ,Routine,Java ,Scheduled Walk In,Candidate 1202,Male,chennai ,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Married,,,,,
30.1.16,Standard Chartered Bank,BFSI,Chennai,Routine,Java,Scheduled Walk In,Candidate 1203,Male,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Married,,,,,
30.01.2016,Standard Chartered Bank,BFSI,Chennai,Routine,Java ,Scheduled Walk In,Candidate 1208,Male,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Married,,,,,
30.01.16,Standard Chartered Bank,BFSI,Chennai,Routine,Java,Scheduled Walk In,Candidate 1214,Male,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,no,Married,,,,,
30.01.2016,Standard Chartered Bank,BFSI,Chennai,Routine,Java,Scheduled Walk In,Candidate 1217,Male,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,no,Single,,,,,
26/05/2016,Aon Hewitt,IT Products and Services,Gurgaon,Routine,"Java,SQL",Scheduled ,Candidate 497,Female,Gurgaon,Gurgaon,Gurgaon,Agra,Yes,Yes,Yes,Yes,Yes,Yes,No,No ,Single,,,,,
06.02.2016,Standard Chartered Bank,BFSI,Chennai,Routine,JAVA/J2EE/Struts/Hibernate,Scheduled Walk In,Candidate 1088,Male,Chennai,Chennai,Chennai,Chennai,NA,NA,NA,NA,NA,NA,NA,No ,Single,,,,,
30/01/16,Standard Chartered Bank,BFSI,chennai,Routine,"Java,spring,hibernate",Scheduled Walk In,Candidate 1183,Male,chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No ,Married,,,,,
30.1.16,Standard Chartered Bank,BFSI,Chennai,Routine,Java Developer,Scheduled Walk In,Candidate 1191,Male,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No ,Single,,,,,
30.1.16,Standard Chartered Bank,BFSI,Chennai,Routine,Java Developer,Scheduled Walk In,Candidate 1194,Male,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No ,Single,,,,,
30.01.16,Standard Chartered Bank,BFSI,Chennai,Routine,Java,Scheduled Walk In,Candidate 1213,Male,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,no ,Single,,,,,
13.02.2015,Aon Hewitt,IT Services,Gurgaon,Selenium testing,Routine,Scheduled Walkin,Candidate 6,Male,Gurgaon,Gurgaon,Gurgaon,Gurgaon,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Single,,,,,
13.02.2015,Aon Hewitt,IT Services,Gurgaon,Selenium testing,Routine,Scheduled Walkin,Candidate 7,Male,Gurgaon,Gurgaon,Gurgaon,Gurgaon,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Single,,,,,
13.02.2015,Aon Hewitt,IT Services,Gurgaon,Selenium testing,Routine,Scheduled Walkin,Candidate 8,Female,Gurgaon,Gurgaon,Gurgaon,Noida,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Single,,,,,
13.02.2015,Aon Hewitt,IT Services,Gurgaon,Selenium testing,Routine,Scheduled Walkin,Candidate 9,Male,Gurgaon,Gurgaon,Gurgaon,Delhi /NCR,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Single,,,,,
19.06.2015,UST,IT Services,Bangalore,Dot Net,Routine,Scheduled Walkin,Candidate 11,Male,Bangalore,Bangalore,Bangalore,Cochin,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Single,,,,,
19.06.2015,UST,IT Services,Bangalore,Dot Net,Routine,Scheduled Walkin,Candidate 13,Male,Bangalore,Bangalore,Bangalore,Bangalore,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Single,,,,,
19.06.2015,UST,IT Services,Bangalore,Dot Net,Routine,Scheduled Walkin,Candidate 14,Male,Bangalore,Bangalore,Bangalore,Trivandrum,No,Yes,Yes,Yes,Yes,Yes,Havent Checked,Yes,Single,,,,,
19.06.2015,UST,IT Services,Bangalore,Dot Net,Routine,Scheduled Walkin,Candidate 15,Male,Bangalore,Bangalore,Bangalore,Cochin,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Single,,,,,
19.06.2015,UST,IT Services,Bangalore,Dot Net,Routine,Scheduled Walkin,Candidate 16,Female,Bangalore,Bangalore,Bangalore,Cochin,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Single,,,,,
19.06.2015,UST,IT Services,Bangalore,Dot Net,Routine,Scheduled Walkin,Candidate 17,Female,Bangalore,Bangalore,Bangalore,Trivandrum,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Single,,,,,
19.06.2015,UST,IT Services,Bangalore,Dot Net,Routine,Scheduled Walkin,Candidate 19,Male,Bangalore,Bangalore,Bangalore,Cochin,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Single,,,,,
19.06.2015,UST,IT Services,Bangalore,Dot Net,Routine,Scheduled Walkin,Candidate 22,Male,Bangalore,Bangalore,Bangalore,Trivandrum,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Single,,,,,
19.06.2015,UST,IT Services,Bangalore,Dot Net,Routine,Scheduled Walkin,Candidate 23,Male,Bangalore,Bangalore,Bangalore,Cochin,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Single,,,,,
19.06.2015,UST,IT Services,Bangalore,Dot Net,Routine,Scheduled Walkin,Candidate 24,Male,Bangalore,Bangalore,Bangalore,Cochin,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Single,,,,,
23.06.2015,Standard Chartered Bank,BFSI,Chennai,AML,Routine,Scheduled Walkin,Candidate 29,Female,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married,,,,,
23.06.2015,Standard Chartered Bank,BFSI,Chennai,AML,Routine,Scheduled Walkin,Candidate 31,Female,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Single,,,,,
23.06.2015,Standard Chartered Bank,BFSI,Chennai,AML,Routine,Scheduled Walkin,Candidate 33,Male,Chennai,Chennai,Chennai,Trichy,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married,,,,,
23.06.2015,Standard Chartered Bank,BFSI,Chennai,AML,Routine,Scheduled Walkin,Candidate 36,Male,Chennai,Chennai,Chennai,Salem,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Single,,,,,
